Paid At일	측정값 이름	측정값
2022년 10월 2일	총 매출	2,106,000.00
2022년 10월 3일	총 매출	2,563,600.00
2022년 10월 4일	총 매출	3,527,200.00
2022년 10월 5일	총 매출	2,259,500.00
2022년 10월 6일	총 매출	4,999,250.00
2022년 10월 7일	총 매출	1,975,600.00
2022년 10월 8일	총 매출	828,500.00
2022년 10월 9일	총 매출	513,000.00
2022년 10월 10일	총 매출	1,719,600.00
2022년 10월 11일	총 매출	2,555,000.00
2022년 10월 12일	총 매출	2,362,850.00
2022년 10월 13일	총 매출	5,038,500.00
2022년 10월 14일	총 매출	1,605,500.00
2022년 10월 15일	총 매출	2,265,400.00
2022년 10월 16일	총 매출	975,500.00
2022년 10월 17일	총 매출	2,768,000.00
2022년 10월 18일	총 매출	2,842,500.00
2022년 10월 19일	총 매출	2,371,900.00
2022년 10월 20일	총 매출	2,721,600.00
2022년 10월 21일	총 매출	1,090,500.00
2022년 10월 22일	총 매출	1,160,000.00
2022년 10월 23일	총 매출	801,000.00
2022년 10월 24일	총 매출	1,569,830.00
2022년 10월 25일	총 매출	1,679,000.00
2022년 10월 26일	총 매출	2,420,400.00
2022년 10월 27일	총 매출	1,673,230.00
2022년 10월 28일	총 매출	6,324,730.00
2022년 10월 29일	총 매출	2,410,000.00
2022년 10월 30일	총 매출	1,234,000.00
2022년 10월 31일	총 매출	2,785,500.00
2022년 11월 1일	총 매출	3,746,100.00
2022년 11월 2일	총 매출	2,798,660.00
2022년 11월 3일	총 매출	3,716,000.00
2022년 11월 4일	총 매출	2,395,500.00
2022년 11월 5일	총 매출	1,195,000.00
2022년 11월 6일	총 매출	2,522,500.00
2022년 11월 7일	총 매출	1,970,750.00
2022년 11월 8일	총 매출	1,491,000.00
2022년 11월 9일	총 매출	1,533,000.00
2022년 11월 10일	총 매출	2,382,650.00
2022년 11월 11일	총 매출	2,087,000.00
2022년 11월 12일	총 매출	716,000.00
2022년 11월 13일	총 매출	1,065,800.00
2022년 11월 14일	총 매출	2,068,100.00
2022년 11월 15일	총 매출	796,000.00
2022년 11월 16일	총 매출	2,546,000.00
2022년 11월 17일	총 매출	1,901,800.00
2022년 11월 18일	총 매출	3,592,500.00
2022년 11월 19일	총 매출	2,190,400.00
2022년 11월 20일	총 매출	1,688,500.00
2022년 11월 21일	총 매출	1,729,000.00
2022년 11월 22일	총 매출	1,980,900.00
2022년 11월 23일	총 매출	2,739,700.00
2022년 11월 24일	총 매출	1,734,400.00
2022년 11월 25일	총 매출	1,833,500.00
2022년 11월 26일	총 매출	981,500.00
2022년 11월 27일	총 매출	811,500.00
2022년 11월 28일	총 매출	1,718,000.00
2022년 11월 29일	총 매출	1,699,500.00
2022년 11월 30일	총 매출	3,415,600.00
2022년 12월 1일	총 매출	2,501,200.00
2022년 12월 2일	총 매출	5,273,400.00
2022년 12월 3일	총 매출	3,090,900.00
2022년 12월 4일	총 매출	2,357,700.00
2022년 12월 5일	총 매출	4,325,400.00
2022년 12월 6일	총 매출	5,848,425.00
2022년 12월 7일	총 매출	4,592,400.00
2022년 12월 8일	총 매출	5,253,300.00
2022년 12월 9일	총 매출	6,572,470.00
2022년 12월 10일	총 매출	5,562,970.00
2022년 12월 11일	총 매출	4,366,600.00
2022년 12월 12일	총 매출	6,822,700.00
2022년 12월 13일	총 매출	5,345,016.00
2022년 12월 14일	총 매출	8,928,320.00
2022년 12월 15일	총 매출	7,623,200.00
2022년 12월 16일	총 매출	7,366,180.00
2022년 12월 17일	총 매출	2,677,000.00
2022년 12월 18일	총 매출	10,557,460.00
2022년 12월 19일	총 매출	11,957,920.00
2022년 12월 20일	총 매출	5,132,300.00
2022년 12월 21일	총 매출	2,944,400.00
2022년 12월 22일	총 매출	3,822,500.00
2022년 12월 23일	총 매출	2,530,730.00
2022년 12월 24일	총 매출	2,317,300.00
2022년 12월 25일	총 매출	1,414,000.00
2022년 12월 26일	총 매출	4,395,200.00
2022년 12월 27일	총 매출	3,215,300.00
2022년 12월 28일	총 매출	5,312,600.00
2022년 12월 29일	총 매출	4,229,275.00
2022년 12월 30일	총 매출	2,292,950.00
2022년 12월 31일	총 매출	2,045,100.00
2023년 1월 1일	총 매출	1,941,500.00
2023년 1월 2일	총 매출	3,671,400.00
2023년 1월 3일	총 매출	3,950,500.00
2023년 1월 4일	총 매출	3,525,270.00
2023년 1월 5일	총 매출	3,020,900.00
2023년 1월 6일	총 매출	1,529,300.00
2023년 1월 7일	총 매출	620,400.00
2023년 1월 8일	총 매출	870,000.00
2023년 1월 9일	총 매출	3,299,500.00
2023년 1월 10일	총 매출	3,870,600.00
2023년 1월 11일	총 매출	2,209,800.00
2023년 1월 12일	총 매출	1,637,638.00
2023년 1월 13일	총 매출	1,911,530.00
2023년 1월 14일	총 매출	1,285,100.00
2023년 1월 15일	총 매출	1,280,500.00
2023년 1월 16일	총 매출	2,350,400.00
2023년 1월 17일	총 매출	3,313,000.00
2023년 1월 18일	총 매출	2,566,600.00
